DaysSinceLastElection,NextElection,TransactionAmountAdj
952,2000,1430
812,2000,1430
954,2000,7150
960,2000,1430
945,2000,4290
933,2000,1430
960,2000,7150
896,2000,715
955,2000,2860
961,2000,1430
874,2000,7150
953,2000,1215.5
945,2000,1859
813,2000,1430
960,2000,1430
813,2000,1430
1046,2000,4290
991,2000,-1430
827,2000,1430
960,2000,7150
895,2000,1430
814,2000,1430
814,2000,2860
927,2000,4290
941,2000,2860
983,2000,2860
960,2000,3575
849,2000,1430
946,2000,1430
815,2000,7150
826,2000,1430
958,2000,715
895,2000,3575
1058,2000,4290
1042,2000,1430
1057,2000,1430
966,2000,1430
958,2000,1430
911,2000,54.34
874,2000,715
911,2000,70.07
961,2000,7150
903,2000,1430
960,2000,7150
960,2000,3575
945,2000,2860
904,2000,7150
917,2000,1894.75
917,2000,2717
1025,2000,1149.72
945,2000,2860
1079,2000,1430
959,2000,2860
924,2000,1430
958,2000,7150
960,2000,7150
954,2000,2860
954,2000,2860
953,2000,1430
961,2000,1430
953,2000,1430
954,2000,2860
966,2000,7150
909,2000,7150
966,2000,7150
934,2000,1430
966,2000,1430
855,2000,715
861,2000,7150
945,2000,7150
1051,2000,4290
967,2000,7150
958,2000,1430
953,2000,7150
855,2000,1430
930,2000,464.75
878,2000,1430
905,2000,1430
912,2000,1430
937,2000,1430
952,2000,7150
976,2000,7150
987,2000,-7150
864,2000,3575
1120,2000,7150
897,2000,1430
860,2000,1430
1085,2000,2860
952,2000,1430
1030,2000,1430
938,2000,1430
1101,2000,1430
1052,2000,34.32
967,2000,297.44
917,2000,3575
946,2000,1430
959,2000,1430
962,2000,3575
962,2000,1430
962,2000,1430
860,2000,1430
955,2000,1430
918,2000,1430
948,2000,357.5
959,2000,1430
1121,2000,1430
1052,2000,715
1067,2000,715
895,2000,3575
1003,2000,1430
1107,2000,1430
909,2000,1430
917,2000,1430
869,2000,7150
1102,2000,1430
960,2000,7150
966,2000,2860
965,2000,1430
952,2000,1430
952,2000,3575
958,2000,1430
961,2000,4290
958,2000,1430
968,2000,7150
1066,2000,7150
876,2000,88.66
967,2000,88.66
1120,2000,37.18
1134,2000,22094.93
1140,2000,2329.47
1134,2000,25289.55
1121,2000,1063.92
1132,2000,2319.46
1133,2000,2066.35
954,2000,1430
1126,2000,57200
1126,2000,42900
910,2000,715
988,2000,7150
1137,2000,2860
1074,2000,1430
1108,2000,1430
934,2000,1430
871,2000,1430
939,2000,1430
958,2000,7150
875,2000,3575
946,2000,143
1030,2000,1430
926,2000,1430
980,2000,1430
980,2000,1430
884,2000,1016.73
940,2000,2860
931,2000,7150
870,2000,1430
926,2000,1430
933,2000,6435
939,2000,2860
1095,2000,2145
960,2000,1430
973,2000,1430
994,2000,1430
973,2000,1430
976,2000,1430
959,2000,1430
955,2000,3575
945,2000,3575
919,2000,286
1038,2000,71.5
1241,2000,1380
1231,2000,345
1226,2000,345
1231,2000,345
1166,2000,696.9
1292,2000,1380
1211,2000,20700
1233,2000,1380
1255,2000,1380
1213,2000,-1380
1231,2000,1380
1238,2000,1380
1273,2000,1380
1227,2000,1380
1240,2000,1380
1186,2000,1380
1210,2000,1380
1268,2000,55200
1176,2000,356.04
1220,2000,1380
1194,2000,310.5
1185,2000,15.18
1183,2000,49.68
1167,2000,474.72
1224,2000,404.34
1224,2000,656.88
1294,2000,276
1294,2000,276
1294,2000,110.4
1294,2000,276
1413,2000,690
1274,2000,-1380
1253,2000,1380
1458,2000,690
1358,2000,1380
1379,2000,138
1289,2000,1380
1409,2000,1380
1213,2000,1380
1437,2000,1380
1297,2000,3608.7
1286,2000,1380
1227,2000,1380
1378,2000,46.92
1378,2000,836.28
1443,2000,414
1430,2000,1380
1424,2000,1380
1431,2000,128.34
1435,2000,1524.9
1435,2000,21492.12
1315,2000,1380
1311,2000,6900
1436,2000,151.8
1434,2000,812.82
1443,2000,4.14
1441,2000,353.28
1427,2000,120.06
1443,2000,89.7
1247,2000,71.76
1212,2000,329.82
1308,2000,977.04
1412,2000,179.4
1393,2000,89.7
1414,2000,310.5
1379,2000,345
1401,2000,456.78
1418,2000,623.76
1346,2000,436.08
1381,2000,179.4
1344,2000,488.52
1386,2000,448.5
1323,2000,138
1396,2000,51.06
1351,2000,484.38
1360,2000,53.82
1353,2000,53.82
1408,2000,345
1452,2000,1380
1443,2000,400.2
1161,2000,1380
1239,2000,1380
1456,2000,1380
1440,2000,11.04
1440,2000,122.82
1440,2000,31.74
1440,2000,277.38
1440,2000,45.54
1440,2000,300.84
1440,2000,138
1440,2000,34.5
1440,2000,89.7
1331,2000,1380
1175,2000,350.52
1182,2000,-1380
1206,2000,1380
1438,2000,154.56
1428,2000,260.82
1438,2000,260.82
1441,2000,260.82
1438,2000,465.06
1437,2000,154.56
1226,2000,1380
1357,2000,165.6
1436,2000,1380
1443,2000,107.64
1430,2000,1380
1408,2000,466738.08
1408,2000,108277.56
1408,2000,752304.24
1322,2000,1380
1352,2000,215.28
1296,2000,2274.24
1366,2000,1380
1455,2000,1380
1367,2000,6900
1393,2000,3036
1232,2000,1380
1443,2000,4140
1457,2000,828
1448,2000,54896.4
1454,2000,13248
